	latitude	longitude	depth	depthWater	temperature.in.situ	conductivity	salinity	temperature.Wat.Pot	density	oxygen	nitrate	chlorophyllA	chlorophyllA.Wat.Samples	ang.Scat.Coef.470	opt.Back.Scat.Coef.470	back.Scat.Coef.Part	fCDOM	opt.Beam.Att.Coef.660	beam.Att.Coef.Part	PAR.in.situ	PAR.8days.KdPAR1	moon.Phase.Proportion	sea.Ice.Concentration	sea.Ice.Free.Period	sunshine.Duration	PAR.8days.AMODIS	SSTgradientHorizontaSDL	SSTgradient.AMODIS.8D	phi.sat	fCDOM.AMODIS	chlorophyllA.GSM.GlobColour	NPP.VGPM.8days	TSM.8D	POC.8D	PIC.8D	residence.Time	diffuse.Att.Coef.490	part.Back.Scat.Coef.443	CDM.absorption.coef.443	depth.Euph.layer	MDL.Temp	MDL.sigmatheta	DCM	depth.Max.Brunt.Vaisala.Freq	depth.Max.O2	depth.Min.O2	depth.Nitracline	NO2	PO4	NO3.NO2	SiOH4	flux1km24h	flux2km24h
S100DCM	-12.9657361502347	-96.0329093896714	98.9906103286385	99.1771692488263	18.7388410093897	47.1879737511737	35.3217745539906	18.7232546244131	25.2325014319249	135.105779107981	10.4123868591549	0.111614366197183	0.257271394366197	0.000201286384976526	0.000798070422535211	0.00246166197183099	2.51561454460094	0.104970624413146	0.0689568169014085	NA	0.373628379310345	0.927887323943662	0	365	708.535211267606	39.735436028169	0.504357042253521	25.3786651971831	3.1167812254	NA	0.151624885803097	383.910903225806	0.0899804412199298	52.2520129872465	0.000295513043924096	6	0.0409	0.00191065497606765	0.0116030360515199	72.6740671614526	43.3004694835681	43.9389671361502	57.9201877934272	54.0845070422535	52.3051643192488	272.492957746479	148.553990610329	0.113870967741935	1.4541935483871	12.158064516129	8.18064516129032	1.6538264874552	1.57746541388889
S100SUR	-12.9845126760563	-96.0036450704225	4.83802816901408	6.32913591549296	25.3493465492958	54.5612589014085	35.8286751408451	25.3478868661972	23.861071971831	201.000076056338	4.98267697183099	0.10135014084507	0.250839542253521	0.000226908450704225	0.000975267605633803	0.00263034507042254	1.77908221830986	0.128248042253521	0.0918335	NA	24.4319905633803	0.898943661971831	0	365	709	41.5371498661972	0.488975111111111	25.3596864521277	3.1167812254	NA	0.146146365926719	398.559	0.0843285341602816	51.574914276123	0.000280617669632193	6	0.0407586666666667	0.00185521931467827	0.011396424930123	73.7343080816135	42.837037037037	43.8592592592593	55.6814814814815	53.162962962963	52.1111111111111	299.088888888889	150.940740740741	0.14	0.68	6.2	1.2	2.30664721212121	2.36645178798186
S100ZZZ	-12.980840625	-96.0125	205.052631578947	190.7985759375	15.7119755	44.03556721875	35.13949040625	15.687995375	25.77334396875	107.27575953125	17.010388625	0.049363125	0.1279274375	0.000145875	0.00041484375	0.0020859375	2.63035184375	0.0730800625	0.035964125	NA	1.44893836666667	0.9075	0	365	708.875	40.45490740625	0.4312725	25.3715198125	3.1167812254	NA	0.149814405478537	NA	0.0887540756957605	51.5193755467733	0.000285390411348392	6	0.0406961538461538	0.00189255958321155	0.0114744067104766	73.0244805812836	44	45.25	51.25	54.5	52.25	295	148.5	NA	NA	NA	NA	2.13580466666667	2.05325538095238
S101ZZZ	-8.6333	-89.479	499.333333333333	299.95775	11.0168125	39.0092545	34.8117125	10.980175	26.626575	8.047	31.555426	-0.0018	0	9.9e-05	8.6e-05	0.0017685	3.207943	0.0434345	0.005104	NA	0	0.97	0	365	713	42.60954	0.69732	26.90101525	2.5798112074	NA	0.21907414495945	NA	0.0843828096985817	67.8325653076172	0.000471687948447652	2.444444	0.055286	0.00253761990461498	0.012947516515851	63.0763988494873	18	20	37	30	22	414	23	NA	NA	NA	NA	1.89995644444444	1.89995644444444
S102DCM	-5.26762748091603	-85.2592786259542	40	40.2927	19.781235	47.575971	34.884385	19.773825	24.729155	104.9968	18.72477	0.35616	0.651492	0.000305	0.001499	0.003152	2.896974	0.162552	0.129877	NA	0.569289022900763	0.76	0	365	718	48.2083107709924	1.8132	25.190766370229	1.7445720128	NA	0.226899349734983	500.285	0.0963591763479564	68.8412428855896	0.000347695200495461	0	0.049	0.00204687488606584	0.0174014868627068	62.4037800563201	11	34	39	44	14	238	48	1.06541666666667	1.73491666666667	22.6425	9.62916666666667	4.22893221842355	3.65183279474131
S102MES	-5.26167027027027	-85.1765459459459	480	480.119562891892	9.137438	37.197112	34.692094	9.083769	26.863531	5.148	40.112735	0	0	1e-04	8.6e-05	0.001776	3.478053	0.036818	0.004142	NA	0	0.76	0	365	718	47.5668	1.77982702702703	25.0283905	1.7445720128	NA	0.300391166999534	500.285	0.11378912285373	84.5407433380952	0.000336511482207759	0	NA	0.00189231249906526	0.023540851609731	55.7695081040666	29.5945945945946	32.3783783783784	41.1351351351351	44.2432432432432	13.1081081081081	442.189189189189	41.9189189189189	0.01	2.85	39.2	40.6	5.08884636036036	4.95821318468468
S102SUR	-5.25382183098592	-85.182676056338	4.87323943661972	6.06839436619718	24.9611238732394	52.7152838169014	34.7635688028169	24.9598537323944	23.1752273943662	204.387490140845	13.0634388169014	0.148975774647887	0.339454633802817	0.000255774647887324	0.00116008450704225	0.00280597183098592	2.07852052112676	0.14102961971831	0.107830985915493	NA	24.162887443662	0.838521126760563	0	365	717.992957746479	47.6201559788732	0.359019117647059	24.9465666619718	1.7445720128	1.13119	0.294072929717286	500.285	0.11176815338965	84.0891748239066	0.000326657402155857	0	0.05112	0.00185492041710974	0.0229613376899399	56.3123815160402	21.125	24.8235294117647	27.1323529411765	34.8235294117647	14.0073529411765	404.463235294118	33.3235294117647	0.32	1	12.6	5	4.73277958965897	4.60744479216627
S102ZZZ	-5.24944444444444	-85.2510577777778	182.714285714286	187.707758511111	14.7136285777778	42.6844635555556	34.9044099777778	14.6892258666667	25.890526	38.4698838888889	29.5704502	0.0420053333333333	0.105265755555556	0.000144177777777778	0.000390555555555556	0.00206288888888889	2.921686	0.0646177333333333	0.0317458888888889	NA	0.974494047619048	0.759777777777778	0	365	717.777777777778	48.5903627777778	1.15259555555556	25.0965254166667	1.7445720128	NA	0.247057088216146	NA	0.107995390974813	76.4053545984729	0.000309166919484189	0	0.0510579333333333	0.00168464319107847	0.0194900712826186	61.0280557420519	17.2888888888889	29.1111111111111	32.4444444444444	39.7333333333333	14.2666666666667	345.422222222222	39.9333333333333	NA	NA	NA	NA	3.48868405820106	3.66308015591398
S103DCM	-1.5058	-84.5793	40	40.2795	22.4157	50.707081	35.226425	22.407575	24.289875	146.03425	8.408095	0.2145	0.455842	0.000193	0.000786	0.002439	2.156446	0.112907	0.084732	NA	0.215427	0.01	0	365	724	48.81278	1.7381	26.26431925	10.4046115779	NA	0.173077240586281	NA	0.0836598165333271	NA	NA	6	NA	0.00113783776760101	0.0157043300569057	69.103630065918	13	17	38	26	13	350	36	NA	NA	NA	NA	4.02299244444444	4.02299244444444
S103SUR	-1.5058	-84.5793	5	6.219375	26.563938	53.788061	34.335037	26.56255	22.355313	202.021125	2.117844	0.0717	0.206923	0.000214	0.000927	0.00257	1.766268	0.12734	0.099165	NA	21.128698	0.01	0	365	724	48.81278	1.7381	26.26431925	10.4046115779	NA	0.173077240586281	NA	0.0836598165333271	NA	NA	6	NA	0.00113783776760101	0.0157043300569057	69.103630065918	13	17	38	26	13	350	36	NA	NA	NA	NA	4.02299244444444	4.02299244444444
S104DCM	-0.9948	-84.5866	40	40.304	22.35925	50.504578	35.114167	22.351133	24.217083	150.152667	9.065308	0.2334	0.48339	2e-04	0.000834	0.002485	2.15397	0.113876	0.085574	NA	0.518801	0.01	0	365	725	50.152954	1.45	24.9165385	3.5726033203	NA	0.185253143310547	NA	0.099779088050127	57.7378692626953	0.000179413014848251	0	0.04483	0.00133252522209659	0.0164438430219889	67.7026329040527	12	13	38	38	14	360	62	NA	NA	NA	NA	5.43522888888889	5.43522888888889
S104SUR	-0.9948	-84.5866	5	6.22725	26.412758	53.681907	34.371158	26.411333	22.430075	200.90775	3.380929	0.126	0.299887	0.00022	0.000967	0.002609	1.798668	0.128218	0.099916	NA	24.74882	0.01	0	365	725	50.152954	1.45	24.9165385	3.5726033203	NA	0.185253143310547	NA	0.099779088050127	57.7378692626953	0.000179413014848251	0	0.04483	0.00133252522209659	0.0164438430219889	67.7026329040527	12	13	38	38	14	360	62	NA	NA	NA	NA	5.43522888888889	5.43522888888889
